Date,Day Name,Month,Year,Subways _Total _Ridership,Subways_%Prepandemic,Buses_Total_Ridership,Buses_%Prepandemic,AAR_Total_Ridership,AAR_%Prepandemic,Bridges&Tunnels_Total_Ridership,Bridges&Tunnels_%Prepandemic,LIRR_Total_Ridership,LIRR_%Prepandemic,MNR_Total_ Ridership,MNR_%Prepandemic,SIR_Total_ _Ridership,SIR_ %Prepandemic
9/27/2020,Sunday,9,2020,846179,33,576684,52,9491,55,731090,83,39994,40,28480,27,5,0
9/28/2020,Monday,9,2020,1489240,26,985185,42,17678,60,753158,79,89664,27,43237,15,3371,20
9/29/2020,Tuesday,9,2020,1661264,29,1057135,46,20517,69,790861,83,88444,27,40515,14,3632,21
9/30/2020,Wednesday,9,2020,1740820,30,1101663,47,21424,72,822682,86,89223,27,41967,15,3704,22
10/1/2020,Thursday,10,2020,1809958,31,1159859,51,22309,75,870605,94,86082,27,42390,15,4003,22
10/2/2020,Friday,10,2020,1790612,31,1115793,49,21626,73,891268,96,87291,28,48883,17,3589,20
10/3/2020,Saturday,10,2020,1168040,35,777674,56,12759,72,810625,86,45018,40,36907,24,33,1
10/4/2020,Sunday,10,2020,852830,35,570608,57,10010,54,706562,84,34976,38,27667,26,761,20
10/5/2020,Monday,10,2020,1678792,29,1102675,49,19971,67,783540,84,88694,28,42257,15,3587,20
10/6/2020,Tuesday,10,2020,1758454,31,1137217,50,21475,72,802900,87,87748,28,43803,15,3866,22
10/7/2020,Wednesday,10,2020,1770617,31,1123231,50,23027,77,814866,88,87119,28,43534,15,3791,21
10/8/2020,Thursday,10,2020,1798005,31,1126770,50,21964,74,845788,91,87959,28,44802,15,3913,22
10/9/2020,Friday,10,2020,1808079,31,1117172,50,21274,71,896404,97,78663,25,52686,18,3700,21
10/10/2020,Saturday,10,2020,1170227,35,771088,55,12627,71,823775,87,44528,39,41409,27,1430,31
10/11/2020,Sunday,10,2020,848469,35,564051,56,9470,52,692668,82,34593,38,28784,27,1049,28
10/12/2020,Monday,10,2020,1284655,22,767564,34,15722,53,685981,74,76776,24,39838,14,2237,13
10/13/2020,Tuesday,10,2020,1715183,30,1063680,47,20909,70,765671,82,76552,24,42205,15,3670,21
10/14/2020,Wednesday,10,2020,1838682,32,1162256,52,23169,78,824528,89,89173,28,45148,16,3956,22
10/15/2020,Thursday,10,2020,1853753,32,1152434,51,22834,77,866244,93,90288,29,46249,16,4069,23
10/16/2020,Friday,10,2020,1671320,29,974110,43,20776,70,820105,88,83798,27,47291,16,3366,19
10/17/2020,Saturday,10,2020,1209473,36,778070,56,11831,67,794519,84,43768,39,37764,25,1588,35
10/18/2020,Sunday,10,2020,896812,37,583350,58,9998,54,752261,89,34682,38,30690,29,1074,28
10/19/2020,Monday,10,2020,1719153,30,1105134,49,20812,70,782238,84,89186,28,44368,15,3570,20
10/20/2020,Tuesday,10,2020,1780231,31,1119283,50,21936,74,790017,85,86591,28,42741,15,3859,22
10/21/2020,Wednesday,10,2020,1812949,32,1140385,51,22959,77,806737,87,86210,27,44102,15,3848,22
10/22/2020,Thursday,10,2020,1825208,32,1140210,51,22391,75,845063,91,88686,28,45770,16,3927,22
10/23/2020,Friday,10,2020,1842588,32,1123540,50,21766,73,881994,95,89931,29,51765,18,3680,21
10/24/2020,Saturday,10,2020,1185612,36,775122,56,12916,73,805453,85,43618,38,38673,25,0,0
10/25/2020,Sunday,10,2020,885001,36,572347,57,10074,55,725808,86,33678,37,28321,27,0,0
10/26/2020,Monday,10,2020,1690651,29,1061566,47,20817,70,760603,82,86745,28,43557,15,3429,19
10/27/2020,Tuesday,10,2020,1815242,32,1143906,51,21870,73,789371,85,87401,28,43340,15,3642,20
10/28/2020,Wednesday,10,2020,1819352,32,1119450,50,23258,78,801965,86,86652,28,43289,15,3676,21
10/29/2020,Thursday,10,2020,1705072,30,987440,44,20925,70,776466,84,81794,26,41157,14,3539,20
10/30/2020,Friday,10,2020,1768018,31,1030639,46,21243,71,824679,89,84254,27,47967,16,3270,18
10/31/2020,Saturday,10,2020,1174059,35,747636,54,12816,72,743811,79,41538,37,34077,22,20,0
11/1/2020,Sunday,11,2020,786675,31,510820,51,10180,54,660914,80,29495,31,22602,22,3,0
11/2/2020,Monday,11,2020,1747908,31,1072262,49,21127,68,772129,82,87198,27,40609,14,3535,21
11/3/2020,Tuesday,11,2020,1602912,28,1027710,47,20416,65,720561,76,82140,25,39749,14,3184,19
